state,ecvotes,dem,rep,other
Alabama,11,238196,35358,2190
Arizona,3,86722,33433,4008
Arkansas,9,146765,32039,619
California,22,1766836,836431,35615
Colorado,6,295021,181267,12396
Connecticut,8,382129,278685,29909
Delaware,3,69702,57236,665
Florida,7,249117,78248,67
Georgia,12,255364,36942,872
Idaho,4,125683,66256,7678
Illinois,29,2282999,1570393,103130
Indiana,14,934974,691570,24353
Iowa,11,621756,487977,33000
Kansas,9,464520,397727,3267
Kentucky,11,541944,369702,14560
Louisiana,10,292894,36791,93
Maine,5,126333,168823,9084
Maryland,8,389612,231435,3849
Massachusetts,17,942716,768613,129028
Michigan,19,1016794,699733,88571
Minnesota,11,698811,350461,80703
Mississippi,9,157333,4467,342
Missouri,15,1111043,697891,19701
Montana,4,159690,63598,7224
Nebraska,7,347445,247731,12847
Nevada,3,31925,11923,0
New Hampshire,4,108460,104642,5012
New Jersey,16,1083850,720322,16265
New Mexico,3,106037,61727,1372
New York,47,3293222,2180670,122506
North Carolina,13,616141,223283,40
North Dakota,4,163148,72751,37817
Ohio,26,1747140,1127855,137594
Oklahoma,11,501069,245122,3549
Oregon,5,266733,122706,24582
Pennsylvania,36,2353987,1690200,94239
Rhode Island,4,165238,125031,20909
South Carolina,8,113791,1646,0
South Dakota,4,160137,125977,10338
Tennessee,11,327083,146520,1935
Texas,23,739952,104661,5123
Utah,4,150246,64555,1876
Vermont,3,62124,81023,542
Virginia,11,234980,98336,1274
Washington,8,459579,206892,25867
West Virginia,8,502582,325358,2005
Wisconsin,12,802984,380828,74748
Wyoming,3,62624,38739,2019
