state,ecvotes,rep,dem,other
Alabama,11,55612,97129,6951
Arkansas,8,44800,81142,1924
California,9,164755,124985,13264
Colorado,4,93072,122733,5603
Connecticut,6,102572,74014,3609
Delaware,3,22535,18852,602
Florida,4,7355,28273,4021
Georgia,13,34260,81180,5970
Idaho,3,27198,29414,1302
Illinois,24,597985,503061,30851
Indiana,15,336063,309584,18447
Iowa,13,307808,209265,13282
Kansas,10,185955,162601,5210
Kentucky,13,227132,235126,6007
Louisiana,8,14234,53668,4
Maine,6,65412,36822,3459
Maryland,8,136185,122238,6011
Massachusetts,15,238866,156997,18941
Michigan,14,316269,211685,16425
Minnesota,9,190461,112901,12949
Mississippi,9,5707,51706,1642
Missouri,17,314092,351922,17642
Montana,3,25409,37311,1136
Nebraska,8,121835,114013,5582
Nevada,3,3849,6347,0
New Hampshire,4,54799,35489,2076
New Jersey,10,221754,164879,14573
New York,36,822013,678462,47567
North Carolina,11,132997,157733,1788
North Dakota,3,35898,20531,1362
Ohio,23,543918,474882,21273
Oregon,4,46172,32810,4269
Pennsylvania,32,712665,424232,36313
Rhode Island,4,33784,19812,2952
South Carolina,9,3579,47233,0
South Dakota,4,54530,39544,2050
Tennessee,12,123108,145240,5512
Texas,15,130641,267432,25633
Utah,3,47139,45006,1044
Vermont,4,42569,12849,794
Virginia,12,115769,146079,2360
Washington,4,57456,44833,5235
West Virginia,6,119829,98807,2160
Wisconsin,12,265760,159163,17578
Wyoming,3,14482,10164,41
